Material,Unit_Price,Weight_KG
A Light in the ...,51.77,6.21
Tipping the Velvet,53.74,6.45
Soumission,50.1,6.01
Sharp Objects,47.82,5.74
Sapiens: A Brief History ...,54.23,6.51
The Requiem Red,22.65,2.72
The Dirty Little Secrets ...,33.34,4.0
The Coming Woman: A ...,17.93,2.15
The Boys in the ...,22.6,2.71
The Black Maria,52.15,6.26
Starving Hearts (Triangular Trade ...,13.99,1.68
Shakespeare's Sonnets,20.66,2.48
Set Me Free,17.46,2.1
Scott Pilgrim's Precious Little ...,52.29,6.27
Rip it Up and ...,35.02,4.2
Our Band Could Be ...,57.25,6.87
Olio,23.88,2.87
Mesaerion: The Best Science ...,37.59,4.51
Libertarianism for Beginners,51.33,6.16
It's Only the Himalayas,45.17,5.42
